batch_id,id,meta.code_1,meta.code_2,meta.code_3,meta.code_4,meta.code_5,meta.code_6,meta.code_7,meta.code_8,meta.code_9,meta.code_10,meta.code_11,meta.code_12,meta.code_13,meta.code_14,label,description
0001,1-marroquinposter2-web copy.jpg,Carceral Imagery: Police Imagery ,Community: Schools ,Geography: Chicago ,Violence: Police Violence,,,,,,,,,,,1-marroquinposter2-web copy.jpg,"Carceral Imagery: Police Imagery , Community: Schools , Geography: Chicago , Violence: Police Violence"
0002,1.JPG,Archival/Era: 2010s ,Infrastructure/Needs: miscellaneous (10),,,,,,,,,,,,,1.JPG,"Archival/Era: 2010s , Infrastructure/Needs: miscellaneous (10)"
0003,"2_04_2022 [ricardolevinsmorales] Minneapolice -sky, tree, police imagery-.png",Carceral Imagery: Police Imagery ,Geography: Minneapolis,,,,,,,,,,,,,"2_04_2022 [ricardolevinsmorales] Minneapolice -sky, tree, police imagery-.png","Carceral Imagery: Police Imagery , Geography: Minneapolis"
0004,2_7_2022 [culturestrike] We Made This World We Can Have Another -fire-.png,Elements: Earth ,Elements: Fire ,Elements: miscellaneous (8),,,,,,,,,,,,2_7_2022 [culturestrike] We Made This World We Can Have Another -fire-.png,"Elements: Earth , Elements: Fire , Elements: miscellaneous (8)"
0005,"2_7_2022 [jailhouse_lawyers_speak] Build Up Communities Not Jails -protest, march-.png",Community: miscellaneous (3) ,Infrastructure/Needs: miscellaneous (10) ,Slogans: No Jails/Bail,,,,,,,,,,,,"2_7_2022 [jailhouse_lawyers_speak] Build Up Communities Not Jails -protest, march-.png","Community: miscellaneous (3) , Infrastructure/Needs: miscellaneous (10) , Slogans: No Jails/Bail"
0006,"2_8_2022 [anarchistposters] Burn This Flag -fire, flag-.png",,,,,,,,,,,,,,,"2_8_2022 [anarchistposters] Burn This Flag -fire, flag-.png",
0007,"2_11_2022 [anarchistposters] This World is a Prison -earth, chain link fence-.png",Carceral Imagery: Barb Wire/Fences/Walls ,Carceral Imagery: Handcuffs ,Carceral Imagery: miscellaneous (5) ,Carceral Imagery: Prison Imagery ,Elements: Earth ,Elements: miscellaneous (8),,,,,,,,,"2_11_2022 [anarchistposters] This World is a Prison -earth, chain link fence-.png","Carceral Imagery: Barb Wire/Fences/Walls , Carceral Imagery: Handcuffs , Carceral Imagery: miscellaneous (5) , Carceral Imagery: Prison Imagery , Elements: Earth , Elements: miscellaneous (8)"
0008,"2_16_2022 [sogoreatelandtrust] Protect Black Life. Protect The Sacred -fist, bird-.png",Elements: Earth ,Elements: Earth: Animals ,Elements: Earth: Animals: Birds ,Protests/Marches: Power Fist,,,,,,,,,,,"2_16_2022 [sogoreatelandtrust] Protect Black Life. Protect The Sacred -fist, bird-.png","Elements: Earth , Elements: Earth: Animals , Elements: Earth: Animals: Birds , Protests/Marches: Power Fist"
0009,"2_19_2022 [anarchistposters] Abolish the Police -chains, ACAB-.png",Carceral Imagery: Chains ,Carceral Imagery: Police Imagery,,,,,,,,,,,,,"2_19_2022 [anarchistposters] Abolish the Police -chains, ACAB-.png","Carceral Imagery: Chains , Carceral Imagery: Police Imagery"
0010,2-3-Community-Reality-1024x780-1.jpg,Art: miscellaneous (11) ,Community: miscellaneous (3) ,Community: Safety ,Infrastructure/Needs: miscellaneous (10) ,World-building: miscellaneous (6),,,,,,,,,,2-3-Community-Reality-1024x780-1.jpg,"Art: miscellaneous (11) , Community: miscellaneous (3) , Community: Safety , Infrastructure/Needs: miscellaneous (10) , World-building: miscellaneous (6)"
